"employee_name","team_lead","masked_emp_id","total_transactions","avg_quality_score","quality_audit_count","adherence_count","compliance_violations","counted_absences","productivity_weighted","quality_weighted","adherence_weighted","compliance_weighted","attendance_weighted","final_score","overall_rank","bonus_status"
"Thor Bruno","Taylor Swift","670*****","1168","78.40","5","4","1","0","22.50","15.68","16.00",0,"10.00","64.18","23","Not Eligible"
"Wonder Gaga","Agapito Strikeland","670*****","932","89.00","5","3","0","2","0.00","17.80","17.00",20,"9.00","63.80","24","Not Eligible"
"Elsa Picasso","Armando Lagablab","670*****","1163","86.00","5","6","1","0","22.50","17.20","14.00",0,"10.00","63.70","25","Not Eligible"
"Genie Drake","Elaine Corfish","670*****","953","82.40","5","2","0","2","0.00","16.48","18.00",20,"9.00","63.48","26","Not Eligible"
"Patrick Starr","Armando Lagablab","670*****","1020","89.60","5","4","1","0","19.50","17.92","16.00",0,"10.00","63.42","27","Not Eligible"
"Shaggy Drake","Annie Batumbacal","670*****","951","79.60","5","2","0","1","0.00","15.92","18.00",20,"9.50","63.42","27","Not Eligible"
"Woody Banksy","Annie Batumbacal","670*****","1076","79.00","5","3","0","0","0.00","15.80","17.00",20,"10.00","62.80","28","Not Eligible"
"Ariel Monet","Armando Lagablab","670*****","1053","83.00","5","3","0","2","0.00","16.60","17.00",20,"9.00","62.60","29","Not Eligible"
"Moana Rodrigo","Elaine Corfish","670*****","1039","77.80","5","2","1","2","19.50","15.56","18.00",0,"9.00","62.06","30","Not Eligible"
"Deadpool Ocean","Agapito Strikeland","670*****","1085","81.60","5","4","0","1","0.00","16.32","16.00",20,"9.50","61.82","31","Not Eligible"
"Flynn Mendes","Elaine Corfish","670*****","1080","81.20","5","4","0","1","0.00","16.24","16.00",20,"9.50","61.74","32","Not Eligible"
"Homer Dali","Armando Lagablab","670*****","1006","83.00","5","5","1","1","19.50","16.60","15.00",0,"9.50","60.60","33","Not Eligible"
"Paris Hiluten","Taylor Swift","670*****","1015","86.40","5","6","1","3","19.50","17.28","14.00",0,"8.50","59.28","34","Not Eligible"
"Rapunzel Cyrus","Elaine Corfish","670*****","1069","94.00","5","8","0","0","0.00","18.80","0.00",20,"10.00","48.80","35","Not Eligible"
"Velma Swift","Annie Batumbacal","670*****","1198","84.60","5","7","1","2","22.50","16.92","0.00",0,"9.00","48.42","36","Not Eligible"
"Buzz Warhol","Annie Batumbacal","670*****","1096","82.40","5","8","0","0","0.00","16.48","0.00",20,"10.00","46.48","37","Not Eligible"
"Maui Nas","Elaine Corfish","670*****","920","88.40","5","10","0","3","0.00","17.68","0.00",20,"8.50","46.18","38","Not Eligible"
"Batman Mozart","Armando Lagablab","670*****","1070","88.60","5","2","1","0","0.00","17.72","18.00",0,"10.00","45.72","39","Not Eligible"
"Ash Bowie","Taylor Swift","670*****","837","89.80","5","2","1","1","0.00","17.96","18.00",0,"9.50","45.46","40","Not Eligible"
"Minion Clapton","Agapito Strikeland","670*****","905","89.40","5","4","1","0","0.00","17.88","16.00",0,"10.00","43.88","41","Not Eligible"
"Tom Hendrix","Annie Batumbacal","670*****","848","80.00","5","3","1","0","0.00","16.00","17.00",0,"10.00","43.00","42","Not Eligible"
"Nami Rihanna","Taylor Swift","670*****","863","84.80","5","4","1","1","0.00","16.96","16.00",0,"9.50","42.46","43","Not Eligible"
"Aladdin Khalid","Elaine Corfish","670*****","1055","85.80","5","5","1","0","0.00","17.16","15.00",0,"10.00","42.16","44","Not Eligible"
"Zoro Elvis","Taylor Swift","670*****","884","84.40","5","4","1","2","0.00","16.88","16.00",0,"9.00","41.88","45","Not Eligible"
"Hulk Mars","Taylor Swift","670*****","892","85.00","5","5","1","2","0.00","17.00","15.00",0,"9.00","41.00","46","Not Eligible"
"Usopp Adele","Taylor Swift","670*****","1058","87.20","5","6","1","1","0.00","17.44","14.00",0,"9.50","40.94","47","Not Eligible"
"Megara Keys","Elaine Corfish","670*****","1061","86.00","5","6","1","2","0.00","17.20","14.00",0,"9.00","40.20","48","Not Eligible"
"Sanji Weeknd","Taylor Swift","670*****","1078","89.20","5","7","1","2","0.00","17.84","0.00",0,"9.00","26.84","49","Not Eligible"
